no|title|text|senti_value
1392|blibli menjual barang expired dan cacat tanpa tanggung jawab|Saya membeli barang bari blibli.com, dengan NO. PESANAN: 3295535 yaitu BlackBerry Dakota 9900 Hitam Smartphone [Garansi TAM], akan tetapi barang baru +/- 4 bulan saya pakai timbul masalah di layar yaitu banyak warna hitam, saya bawa ke service center resmi TAM dikota saya yaitu Bandung, akan tetapi alangkah kagetnya bahwa blackberry dakota yang saya beli dari Blibli.com ternyata masa garansinya sudah expired dari tahun 2014, alangkah kecewanya saya ternyata saya membeli barang produksi 2011, saya coba komplain ke blibli.com, dan ternyata mereka menerima keluhan saya dan menyuruh mengembalikan barang, maka saya kirim balik via JNE pada tanggal 7 Agustus 2015, dan barang tersebut diterima pada tanggal 10 Agustus 2015 oleh pegawai blibli.com yang bernama ridwan, bagian retur, sesuai komitmen blibli.com di situsnya saya tunggu 3 hari, tenyata tidak ada konfirmasi, pada hari jumat 14 agustus 2015 saya coba chat dengan CS blibli.com dan alangkah kagetnya saya ternyata barang saya dikirim ke merchant mereka di Yogyakarta, dan dalam status sedang diperbaiki, pada sore harinya saya ditelepon oleh CS blibli.com, dan dijanjikan kabar secepatnya pada hari selasa/ rabu paling lambat, akan tetapi sampai hari ini tgl 1 september 2015 belum ada telepon maupun kabar, sampai tadi saya sempet chatting dengan CS blibli.com dan barang saya masih dalam status direpair, saya sangat kecewa ternyata barang saya hanya diperbaiki, sedangkan saya membeli barang dengan garansi TAM yang terpercaya, ternyata saya ditipu oleh blibli.com dengan menjual barang yang garansinya sudah habis dari tahun 2014 dan blackberry dakota tersebut ternyata produksi 2011, saya sampai sekarang masih aneh dengan penjelesan setiap CS blibli.com yang bilang barang direpair, padahal jelas2 saya ditipu oleh judul di situs blibli.com, saya harapkan penyelesaian secepatnya dari blibli.com|1
1399|Menunggu pengambilan kurir sudah 4 hari tanpa progres|No pesanan 5043849 telah dilakukan pembayaran tgl 11 Agustus 2015 (Preorder), estimasi pengiriman tgl 26 Agustus 2015, hari ini tgl 30 Agustus 2015 (4 hari) status masih menunggu pengambilan kurir. Sementara saya beli di online shop lain kalo 4 hari tidak ada konfirmasi dari seller uang sudah dikembalikan. Terkesan terjadi pembiaran dari pihak blibli entah itu kepada pihak kurir ataupun seller atas keterlambatan ini. Seakan tidak memberi kepastian pada pembeli..ini yang membuat saya selaku pribadi kecewa dan ragu untuk berbelanja lagi di Blibli.com|1
1403|Lama Bangetm|Saya habis order tanggal 13 agustus kemarin, apa memang pengiriman harus lama yah sampai tanggal 18-25 :( hari Inipun barangnya belum sampe sampe udah 2minggu :( kalau bisa ditingkatkan lagi prosesnya, setuju dengan review lain, jika sudah di order harusnya langsung di proses tanpa menunggu besoknya lagi, agar proses pengirimannya juga cepat, biar sama-sama senang|2
1404|menunggu pesanan kurir kok sampe berhari hari|Saya pesan di bibli pada tgl 25 agustus 2015, tapi sampai hari ini tgl 28 agustus 2015 status masih menunggu pengambilan kurir, dan no resi pengiriman pun belum tersedia. Meskipun kirim gratis cicilan nol banyak promosi tapi kalau kirim lama, tentunya akan sulit konsumen percaya pada bibli. Tks|1
1408|kasus telat pengiriman akhir2 ini (oktoner 2015)|oooo baiklah. ternyata ini memang sedang banyak terjadi. pengiriman banyak mengalami kasus akhir2 ini di blibli.com. Ini konyol dan pasti akan memberi bekas kecewa cukup dalam bagi konsumen. take care aja blibli. kasih sanksi bagi merchant dan relasi kurir yang tidak profesional. PERJELAS semua hubungan kerjasama kalian. Kemampuan MENYAMBUNGKAN termasuk MENCARI dan MELACAK adalah yang kalian jual di sini. Kalau itu diabaikan sudah tidak artinya lagi perusahaan ini. Pastikan kalau pihak2 yang sedang menjalin kerjasama jelas dan profesional. Ini hanya masukan. mengingat banyak sekali kasus-kasus ketidakjelasan penerimaan barang di bawah, dan orang-orang yang kecewa dan merasa tertipu iklan/informasi yang kurang jelas. Jika merchant tidak profesional, tawarkan refund. No banyak cincong pada merchant yang tidak bertanggungjawab. Barang ada, baru jual. bukan jual harapan. Runtut sampai tuntas kurir-kurir yang tidak profesional. Kalau perlu kasih rekomendasi ke customer kurir-kurir dengan jaminan kalian profesional. Perusahaan ini menjual jasa penghubungan. Kalau relasi-relasi yang terkait tidak profesional, harusnya perusahaan ini peduli untuk membuat mereka jelas dan profesional. Kecuali kalo entah apa ya, yang seharusnya jadi prioritas perusahaan ini. Dan bagi pembeli, pertimbangkan dengan sangat baik2 pilihan untuk membeli secara online. Apalagi untuk barang dengan harga tidak sedikit. Selalu ada celah untuk orang tidak bertanggung jawab jika ternyata tidak sedang berhadapan langsung. Dan inilah bisnis online ini. Bisnis anti tatap muka. Jika ada masalah dengan barang/merchant, sepertinya tidak perlu ragu2 untuk mengulas langsung pada kolom barang. utarakan langsung masalah dengan merchant/penyedia jasa di sana agar pembeli lain sadar. trimakasih.|2
1409|MENGECEWAKAN!!|Tanggal 6 oktober yang lalu, sy melakukan transaksi dg kode pesanan [private info removed] dan barang yg sy pesan adalah sbb: 1. 1buah Mouse Logitec Black M100r kode pesanan [private info removed] 2. 1buah CSL Tumbling robot kode pesanan [private info removed] 3. 1buah Power bank 4400mAh merk Robot kode pesanan [private info removed] sampai sekarang sy hanya menerima item no.1 dan 2, sedangkan item no.3 belum sy terima, padahal estimasi pengiriman sampai tgl. 13 okt yang lalu. Sedangkan sy lacak status pesanan di akun blibli.com, di status pesanan item no. 3 berhenti pada proses no. 2 yaitu menunggu pengambilan kurir dan status ini semenjak tgl. 7 okt - skrng (tgl. 15 okt). Terus terang sebagai buyer sy kecewa, krn di transaksi pertama (membeli laptop lenovo g40-70) proses pengiriman cukup cepat, dan sy puas dg pelayanan blibli.com, namun di transaksi kedua, mengecewakan.|1
1410|MENGECEWAKAN!|Saya melakukan pemesanan barang, dan mendapat estimasi barang diterima 1-10 oktober. Sampai tanggal 12 oktober barang tidak diterima juga, saya komplain ke customer care nya, malah disuruh refund / dibatalkan ordernya, dengan alasan bermasalah dengan pihak merchant. Dilihat dari banyaknya review tidak bagus disini, berarti jelas. Penanganan masalah dengan pihak merchant tidak pernah diselesaikan. Tapi barang masih tetap DIPASARKAN DI WEB NYA! Sehingga memungkinkan pembeli lain kecewa juga. Setelah dapat saran refund dari pihak blibli.com, sampai sekarang tanggal 15 oktober 2015, duit saya belum kembali juga. Benar benar indikasi penipuan!|1
1411|Lambreta|Konfirmasi pembayarn blm ad verifikasi.. sy order tggl 11 dan 12 smp skrg blm ad kejelasan.. dan parahnya lg tangg 14 situs blibli.com g bs dibuka?gimana sy mau check pesanan sy.. Kapok deh.. verifikasi aj blm apalg kirimny?|1
1412|Hati2 Blibli.com jual barang bekas uang belum kembali!|Saya membeli barang Microsoft Xbox 360 Slim Black Game Console [250 GB] dengan NO. PESANAN: [private info removed] dari merchant Blibli.com bernama EMPEROR GAMES. Barang sampai di tempat saya keadaan dus packing rapih namun begitu saya buka ternyata dus bawaan XBOX360 nya sendiri sudah terlihat kusam. Dengan tetap berpikiran positif saya terus buka dan ternyata langsung melihat yang saya dapatkan unit bekas. Tidak memerlukan waktu lama untuk mengidentifikasi kondisi barang adalah barang bekas. Sangat jelas! Dari tombol start bagian chrome yg sudah retak dan gugus dan ada bekas baret2 kasar yang mengindikasikan sudah di tekan berkali kali. Controller diterima dalam keadaan lengket seperti bekas keringat. Kompartemen baterai yang penuh dengan debu. Power supply, dan unit box nya sendiri sudah banyak baret nya. SANGAT KETERLALUAN! Tanpa menunggu lebih lama dan setelah request untuk pengembalian barang, unit tersebut saya kembalikan. CS Blibli.com pada saat itu berjanji akan merefund dana dalam waktu 2-3 hari ke kartu kredit Mandiri saya. Sekarang sudah hampir mencapai sebulan dan dana BELUM DIKEMBALIKAN! Setiap kali saya telpon ke CS mereka menjawab seperti robot yang sudah terprogram untuk membuat customer jengkel dengan jawaban yang tidak definitive. Masalah refund belum jelas, yang membuat saya kecewa adalah bahwa merchant tersebut masih bisa bebas berjualan di Blibli.com bahkan menambah jumlah dagangan nya. Sudah ada 2 pembeli terverivikasi yang menulis ulasan tentang hal ini https://www.blibli.com/microsoft-xbox-360-slim-black-game-console-250-gb.... Saya sudah sering belanja online seperti di LAZ*ADA atau ZAL*RA dan tidak pernah kejadian seperti ini. Saya benar2 KAPOK! belanja di Blibli! Untuk calon pembeli yang lain harap berhati hati!|1
1413|KAPOK !|Mau coba ikut review nih, masalah proses pemesanan di Blibli. Saya dengan nomor order [private info removed] pesan di tanggal 7 Oktober dan pembayaran pun di tanggal tersebut dapat estimasi penerimaan barang tanggal 8 Oktober 2015 - 15 Oktober 2015. Awalnya saya belanja disini karena menarik dapat potongan harga Rp. 100.000 dan Free ongkir tanpa melihat review sebelumnya, saya mengira pelayanannya pasti baik dan aman. Setelah ditunggu kok barang sama sekali gada kabar dan tidak ada perubahan di status pemesanan. Entahlah apa yang dibuat lama pengirimannya? Saya beli di lapak sebelah besoknya barang sudah sampai. Kalaupun barang sudah sampai mungkin ini yang pertama dan terakhir kalinya saya beli di blibli.com. Cukup kecewa padahal ini pembelian perdana saya. Harusnya diberikan kesan yang baik dan nyaman untuk customer. Mohon segera diproses secepatnya pemesanan saya. Terima kasih.|1
1414|Buruk|tgl 30 sy memesan 3 item, no ordernya 11000733773, estimasi pengiriman tertulis tgl 2-8 oct ,tp yg bikin sy kecewa ada 1 item yaitu ocu care welness yg sampe skrg blm dikirim2 jg (13 Oct) udh mkn waktu 2 minggu , sy udh chat 4 x dgn cs nya tp jawabannya sama aja cm permintaan maaf atas ketidaknyamanan dan akan diteruskan ke pihak merchant dan logistik, bener2 sangat mengecewakan , sy tanya kendalanya dmn sampe brg ga dikirim2 katanya blm ada update, masa sampe 4 hari sy komplain ga ada update, brarti kan ga di follow up, sy minta dikabari jg ada kbrnya, sy jg sampe malas mau nanyain trus, hrsnya kan pihak blibli komplain ke pihak merchantnya langsung dong, skrg sy minta refund katanya makan waktu 7-14 hari, ga tau tau deh 7-14 nya dr kpn, capek deh, ga tau bener atau ngga nya , pengalaman yg sangat buruk belanja di blibli|1
1415|pengiriman tidak jelas|saya beli jam, harganya g mahal, sbagai hadiah untuk adik saya , setelah bayar, statusnya masih menunggu pengambilan kurir, bayar tanggal 7 oktober, konfirmasi diterima tanggal 8 oktober, dan baru hari ini tanggal 13 oktober dapat sms, bahwa barang kosong, itu pun setelah saya serang CSnya. dari sms d tawari barang lain dengan warna berbeda, saya sudah ok, pas cek d sistem , masih yang lama barangnya, d tanya lagi ke CS, g tau juga, mau d buat laporan. beberapa hari ini saya d beri informasi palsu, d bilang mau d report, sudah d pick up, dan lainnya, ternyata barang kosong. berani tampil d TV, tapi seperti ini g siap????? paling2 jawabannya, mohon maaf atas ketidaknyamanan anda. saya terpaksa menulis d sini agar langsung d dengar publik dan lainnya. CS nya sih ok, responsif. terimkaasih|1
1416|dana sy tidak dikembalikan oleh pihak blibli.com|tgl 3 sept '15 sy order philips avent no. order 11000541422,tgl 10 sept' 15 order sy sampai tp ada cacat produk sehingga sy kembalikan ke pihak blibli pd tgl 12 sept '15, dan pihak blibli mengakui bhw produk tsb cacat, dan sy minta untuk refund dana, tgl 18 sept' 15 pihak blibli menjanjikan dana akan masuk ke rekening sy (BPDKAL**M) dlm waktu 3-5 hari kerja, lewat dr 5 hari kerja dana tdk masuk2, ternyata tgl 6 october '15 sy di info bhw bank tujuan (BPDKAL**M) terkendala menrima transfer (entah mengapa). dan sy diminta rek yg lain sy ganti dg rek BANK BR*, ternyata dr tgl 6 okto' 15 smpai 12 okto '15 dana sy belum masuk jg. mohon pihak blibli beritikad baik untuk benar2 mengembalikan dana sy.|1
1417|Pengirman lama|Saya baru pertama kali order di blibli sih. Kirainnya bakalan cepat sampainya. Eh malah kisaran pengiriman 10harian. Biarpun pesanan saya gak mahal mahal sih harus tetap di optimalkan tiap pesanan yg ada. Susah banget kyaknya order di blibli klo kita butuhnya cepat . :)|2
1418|MENGECEWAKAN.. UPDATE KIRIMAN TIDAK TERAMBIL-AMBIL OLEH KURIR|TANGGAL 6 OKTOBER 2015 SAYA MEMBELI PRODUK Asus Zenfone 5 Lite Black Smartphone NAMUN STATUS BARANG MASIH SAJA MENUNGGU PENGAMBILAN KURIR, SUDAH KONFIRM BY PHONE, LIVE CHAT JAWABAN TETAP SAMA, FOLLOW UP NAMUN TIDAK ADA KEPASTIAN.. TOLONG PROFESIONALNYA, KONSUMEN PERLU DI KONFIRMASI!!! KIRIMAN SEBENARNYA ADA ATAU TIDAK?? DUE DATE PESANAN ADALAH BESOK TANGGAL 13 OKTOBER NAMUN STATUS BARANG MASIH SEPERTI ITU,, BENAR-BENAR PAYAH!!!|1
1419|Pengiriman lama banget!|"Saya pesan tanggal 3 Okt sampai 12 Okt barang belum sampai. Proses masih ""menunggu pengambilan kurir"". Saya bener2 kecewa dan kapok belanja di Blibli. Hampir tiap hari saya tanya ke CS tapi jawabannya sama kek mesin penjawab otomatis, bener2 ga solutif dan jawabannya selalu ""maaf atas ketidaknyamanannya"". Bilangnya akan dibantu follow up tapi gada hasil sampai sekarang. Ga lagi2 deh belanja di Blibli. Tolong segera perbaiki service anda. Jaga kepercayaan dan loyalitas customer."|1
1420|GAK ADA BINTANG|"harga ok murah. tapi pengiriman lamanya seampun-ampun, kirain pas saya bayar langsung diproses dan dikirim. tapi apaan, sampe hari ini masih status nomor 2 ""menunggu pengambilan kurir"". seharusnya tulis dong barang ready atau gak, jadi kan gk ngerasa ""agak ketipu"". udah diusahakan barang dibayar cepat, eh malah lama dari pihak bliblinya. tanya ke CS live chat, bilang harus nunggu pengadaan barang, pengambilan kurir dll. hadehhhh sama aj kayak make rekber dong ya? saya bayar ke blibli, terus nunggu merchantnya ready , baru pihak pengirim ready. malah udah sengaja pake RPX biar cepet sampai, malah seminggu juga sampenya. kirain 2/3 hari masih ok lah. lain kali kasih notice dong klo barang ready atau gak. klo gini mah sama aj saya gak beli dari blilbli, beneran berasa kayak pakai rekber. buat kedepannya diperbaikin lah biar gk makin turun tuh rating. rada kecewa, semoga aja kedepannya saya gak kapok belanja disini. oh iya, saya baca baca reviewnya banyak yang dapet barang gk sesuai yang diharapkan nih ya? klo nanti barang saya datang dan sampe kejadian ke saya juga, saya minta refund aja deh, mendingan ke tetangga, mahal dikit tapi cepat, dan sesuai harapan."|1
1421|Batalkan pesanan saya|Saya ratih pusparini malam ini ada pemesanan Laptop lenovo G40-45 Amd e1 2Bid Mohon dibatalkan... Saya tidak mau membayar walaupun mencicil,saya akan telfon kartu kredit saya agar blokir pembelian di blibli.com Mohon direspon(batalkan pembelian pembayaran saya) atau saya merespon lewat jalur hukum. Batalkan Nomor pesanan: 11000749486 (batalkan) batalkan sekarang!!!!!!! Terima kasih|1
1422|barangn ada atau tidak ????|pertama kali nyoba belanja di blibli udah dapet pengalaman gag enak. dapet email barang akan sampai antara tgl 28 Sept - 03 Okto 2015, tapi sampai sekarang gag dtng2. Cs nya telp cuma 1 kali tgl 05 Okto, infoin ada kendala di pacejingnya. Diminta tunggu 2 hari lagi dan akan dikonfirmasi lagi. Ditunggu sampai sekarang, konfirmasi gag ada, barang juga gag ada. Ini blibli beneran toko online atau cuma penipuan... untung nyoba belanjanya yg paling murah.|1
1423|TIDAK TAU MENGOPERASIKAN PERUSAHAAN ONLINE SHOPPING|saya membeli iphone 6S gold 128 GB pada tanggal 5 oktober 2015 dan pembayaran sudah lunas. Namun statusnya masih menunggu pengambilan dari kurir selama 3 hari ini. Saya sudah chat dan email dengan customer service yang dikatakan akan disampaikan kepada pihak terkait yaitu pihak logistik. Namun tidak tahu kapan saya akan mendapatkan info kepastian dan jadwalnya secara jelas. Kelihatan jelas Sangat buruk pelayanan dan kesiapan blibli sebagai perusahaan shopping online yang merupakan perusahaan besar serta sebagai group BCA dan Djarum. Saya minta bisa diberikan kepastian ada atau tidak sebenarnya barang yang saya pesan sehingga dapat segera memberikan kepastian. Alasan sedang menungggu pengambilan kurir adalah dibuat-dibuat karena saya tau standart RPX dalam pengiriman barang.|1
1424|Bad Service|"Saya sudah berbelanja ke sekian kalinya di blibli, namun kenapa pelayanannnya semakin buruk ya. Saya Beli laptop tgl 5 okt pagi sdh melakukan pembayaran. Saya lihat di detail pemesanan statusnya masih tgl 5 okt menunggu pengambilan kurir. yang menjadi pertanyaan saya, apakah barang yg saya beli memang ada atau tidak? Kenapa mesti lama sekali pengirimannya hingga saat ini 8 OKtober belum berapa, udah 2 kali live chat. yg pertama ktnya masuk pengambilan kurir tgl 6, yg kedua bilang belum dikirim. Bagaimana ini? Cantumkan yang sejujurnya bila barang tidak ready. Percepat pengiriman, update status lebih cepat. Jangan nunggu komplen customer. Kerjasama dengan trusted merchant...kalo perlu blibli punya gudang lebih gede kyk punya tetangga biar bisa stok sendiri. mohon give us ""excellent service"" Thanks"|1
